i,myALTime,javaALTime
0,1.677E-6,1.4809E-5
1,6.81E-7,1.297E-6
2,6.84E-7,1.16E-6
3,1.002E-6,1.347E-6
4,1.781E-6,2.26E-6
5,5.0513E-5,3.103E-6
6,7.341E-6,5.008E-6
7,1.5339E-5,9.323E-6
8,2.865E-5,3.5163E-5
9,5.2182E-5,7.6641E-5
10,2.6172E-5,1.12104E-4
11,5.0887E-5,9.7872E-5
12,1.08548E-4,1.97405E-4
13,1.99025E-4,3.84529E-4
14,3.99261E-4,7.58562E-4
15,8.41664E-4,0.001396705
16,0.001729331,0.001368867
17,8.33052E-4,0.002724383
18,0.001666942,0.00552473
19,0.00347701,0.010696607
20,0.010812681,0.020123128
21,0.006757285,0.047483816
22,0.015487838,0.101333683
23,0.035880731,0.159720214
24,0.050892245,0.350662326
25,0.123075357,0.811008035
26,0.224114581,1.379640493
27,0.483718508,2.513669688
28,0.749002388,5.298916068
